id,query_id,query_group_id,execution_id,brand_in_response,total_sources,sources_with_brand,brand_mention_percentage
952747,138386,3078,13841,1,9,5,55.56
952225,259711,6514,13836,0,20,0,0.00
952224,259710,6514,13836,0,19,0,0.00
952223,259709,6514,13836,0,15,0,0.00
952222,259708,6514,13836,0,19,0,0.00
952221,259707,6514,13836,0,19,0,0.00
952220,259706,6514,13836,0,39,0,0.00
952219,259705,6514,13836,0,38,0,0.00
952218,259704,6514,13836,0,26,1,3.85
952217,259703,6514,13836,0,34,0,0.00
952216,259702,6514,13836,0,21,1,4.76
952215,259701,6514,13836,0,16,0,0.00
952214,259700,6514,13836,0,50,3,6.00
952213,259699,6514,13836,0,19,0,0.00
952212,259698,6514,13836,0,28,6,21.43
952211,259697,6514,13836,0,19,3,15.79
952210,259696,6514,13836,0,29,1,3.45
952209,259695,6514,13836,0,20,7,35.00
952208,259694,6514,13836,0,36,0,0.00
952207,259693,6514,13836,0,37,8,21.62
952206,259692,6514,13836,0,44,3,6.82
952205,259691,6514,13836,0,31,0,0.00
952204,259690,6514,13836,0,28,6,21.43
952203,259689,6514,13836,0,19,0,0.00
952202,259688,6514,13836,0,26,11,42.31
952201,259687,6514,13836,0,26,1,3.85
952200,259686,6514,13836,0,37,3,8.11
952199,259685,6514,13836,0,14,3,21.43
952198,259684,6514,13836,0,22,2,9.09
952197,259683,6514,13836,0,35,1,2.86
952196,259682,6514,13836,0,17,1,5.88
952195,259681,6514,13836,0,39,2,5.13
952194,259680,6514,13836,0,17,0,0.00
952193,259679,6514,13836,0,31,6,19.35
952192,259678,6514,13836,0,30,10,33.33
952191,259677,6514,13836,0,24,3,12.50
952190,259676,6514,13836,0,43,11,25.58
952189,259675,6514,13836,0,30,7,23.33
952188,259674,6514,13836,0,39,5,12.82
952187,259673,6514,13836,0,32,7,21.88
952186,259672,6514,13836,0,35,4,11.43
952185,259671,6514,13836,0,25,2,8.00
952184,259670,6514,13836,0,18,3,16.67
952183,259669,6514,13836,0,31,3,9.68
952182,259668,6514,13836,0,37,13,35.14
952181,259667,6514,13836,0,43,5,11.63
952180,259666,6514,13836,0,27,7,25.93
